KUWAIT AIRWAYS,KUWAIT,BENGALURU,21612,22793
KUWAIT AIRWAYS,KUWAIT,CHENNAI,35219,35295
KUWAIT AIRWAYS,KUWAIT,DELHI,81923,80274
KUWAIT AIRWAYS,KUWAIT,KOCHI,70542,71793
KUWAIT AIRWAYS,KUWAIT,MUMBAI,70154,80138
KUWAIT AIRWAYS,KUWAIT,TRIVANDRUM,31665,31420
LUFTHANSA,FRANKFURT,BENGALURU,105839,109143
LUFTHANSA,FRANKFURT,CHENNAI,77191,83524
LUFTHANSA,FRANKFURT,DELHI,141980,156246
LUFTHANSA,FRANKFURT,HYDERABAD,0,0
LUFTHANSA,FRANKFURT,KOLKATA,0,0
LUFTHANSA,FRANKFURT,MUMBAI,100226,109494
LUFTHANSA,FRANKFURT,PUNE,12705,11800
LUFTHANSA,HONG KONG,MUMBAI,0,0
LUFTHANSA,MUENCHEN,DELHI,71369,76680
LUFTHANSA,MUENCHEN,MUMBAI,66773,70844
LUFTHANSA,SHARJAH,HYDERABAD,0,0
LUFTHANSA,SHARJAH,MUMBAI,0,0
MAHAN AIR,MASHHAD,DELHI,2355,1963
MAHAN AIR,TEHRAN,DELHI,20648,21100
MALAYSIA AIRLINES,KUALALUMPUR,BENGALURU,71330,69799
MALAYSIA AIRLINES,KUALALUMPUR,CHENNAI,81677,87341
MALAYSIA AIRLINES,KUALALUMPUR,DELHI,79935,82681
MALAYSIA AIRLINES,KUALALUMPUR,HYDERABAD,41168,40896
MALAYSIA AIRLINES,KUALALUMPUR,MUMBAI,89835,84837
MALINDO AIRWAYS,KUALALUMPUR,AMRITSAR,30374,34651
MALINDO AIRWAYS,KUALALUMPUR,DELHI,69921,74459
MALINDO AIRWAYS,KUALALUMPUR,KOCHI,51755,58934
MALINDO AIRWAYS,KUALALUMPUR,MUMBAI,47789,49602
MALINDO AIRWAYS,KUALALUMPUR,TIRUCHIRAPALLY,103595,93054
MALINDO AIRWAYS,KUALALUMPUR,TRIVANDRUM,20782,20180
MALINDO AIRWAYS,KUALALUMPUR,VISAKHAPATNAM,0,0
MEGA MALDIVES AIRLINES,MALE,DELHI,3945,4924
MEGA MALDIVES AIRLINES,MALE,MUMBAI,0,0
MIHIN LANKA,COLOMBO,CHENNAI,36667,37148
MIHIN LANKA,COLOMBO,GAYA,1093,996
MIHIN LANKA,COLOMBO,KOLKATA,9243,13605
MIHIN LANKA,COLOMBO,MADURAI,37069,37609
MIHIN LANKA,COLOMBO,VARANASI,859,1149
MYANMAR AIRLINES,RANGOON,GAYA,14438,14270
MYANMAR AIRLINES,RANGOON,VARANASI,2365,2146
NEPAL AIRLINES CORPORATION,KATHMANDU,DELHI,79719,76890
NOVO AIR,CHITTAGONG,KOLKATA,1350,1079
NOVO AIR,DHAKA,KOLKATA,4746,4859
OMAN AIR,MUSCAT,BENGALURU,83718,81564
OMAN AIR,MUSCAT,CHENNAI,89369,101766
OMAN AIR,MUSCAT,DELHI,102357,104397
OMAN AIR,MUSCAT,GOA,35332,43287
OMAN AIR,MUSCAT,HYDERABAD,108457,101816
OMAN AIR,MUSCAT,JAIPUR,41597,45715
OMAN AIR,MUSCAT,KOCHI,96486,94174
OMAN AIR,MUSCAT,KOZHIKODE,60257,59205
